stud.id,gender,age,height,weight,religion,nc.score,semester,major,minor,score1,score2,online.tutorial,graduated,salary
115611,Female,23,170,68.4,Other,1.2,4th,Environmental Sciences,Economics and Finance,71,80,0,0,NA
115897,Male,25,178,81.3,Protestant,1.37,3rd,Biology,Social Sciences,79,78,0,0,NA
116553,Male,20,175,68.2,Protestant,3.22,4th,Mathematics and Statistics,Economics and Finance,87,93,0,0,NA
117251,Female,20,154,64.4,Protestant,1.81,4th,Economics and Finance,Social Sciences,68,60,1,0,NA
117366,Male,21,172,70.6,Other,2.54,3rd,Political Science,Environmental Sciences,52,54,0,0,NA
117780,Female,22,171,70.9,Other,3,>6th,Biology,Economics and Finance,76,82,1,1,38655.82558
117866,Male,20,173,75.3,Muslim,1.13,5th,Environmental Sciences,Economics and Finance,72,66,0,1,44555.02997
117917,Male,21,183,81.7,Catholic,3.23,4th,Biology,Environmental Sciences,71,84,1,1,54077.54939
117944,Male,23,181,77.4,Orthodox,1.44,6th,Economics and Finance,Biology,72,71,1,1,56975.03642
118028,Female,21,166,67.4,Protestant,1.85,3rd,Social Sciences,Mathematics and Statistics,48,47,1,0,NA
118214,Female,18,166,67.4,Protestant,2.58,4th,Biology,Political Science,65,77,0,1,46575.08113
118242,Male,22,174,73.9,Catholic,3.32,3rd,Environmental Sciences,Biology,79,72,0,0,NA
118281,Female,21,165,61.6,Other,1.39,4th,Biology,Political Science,82,74,0,0,NA
118420,Female,21,164,72.3,Other,1.08,4th,Political Science,Environmental Sciences,48,66,1,1,19481.33381
118502,Female,21,157,67.3,Other,2.24,4th,Political Science,Mathematics and Statistics,62,54,0,1,36911.26186
118892,Female,23,156,68.5,Catholic,2.19,4th,Economics and Finance,Political Science,65,69,1,1,38889.87033
119167,Male,22,172,73,Protestant,1.16,3rd,Economics and Finance,Political Science,72,67,1,0,NA
119206,Male,23,191,89.6,Other,2.12,6th,Environmental Sciences,Social Sciences,72,70,1,1,51898.02678
119720,Female,21,163,61.5,Other,1.2,3rd,Political Science,Environmental Sciences,58,61,1,0,NA
119762,Female,22,166,68.7,Catholic,1.15,4th,Biology,Political Science,78,74,0,0,NA
120107,Male,21,182,80.2,Other,2.1,>6th,Social Sciences,Economics and Finance,48,43,1,1,38815.94897
120195,Male,26,164,66.8,Catholic,2.21,5th,Economics and Finance,Political Science,63,63,0,1,47998.39682
120552,Female,20,157,65,Catholic,1.19,4th,Environmental Sciences,Political Science,76,76,1,1,34967.70439
120817,Male,23,190,92.5,Catholic,3.13,3rd,Environmental Sciences,Mathematics and Statistics,75,77,1,0,NA
121173,Female,24,157,63.8,Catholic,2.78,3rd,Social Sciences,Biology,50,49,1,0,NA
121534,Male,22,181,76.2,Orthodox,1.15,5th,Political Science,Biology,58,56,0,0,NA
121691,Female,24,167,67.6,Other,2.58,3rd,Political Science,Economics and Finance,58,54,1,0,NA
122066,Male,21,172,75.3,Other,2.17,3rd,Environmental Sciences,Political Science,65,72,1,0,NA
122162,Female,24,168,68.3,Other,2.63,5th,Mathematics and Statistics,Biology,90,86,0,1,36055.36176
122263,Female,22,151,58.9,Other,3.78,3rd,Environmental Sciences,Mathematics and Statistics,70,73,0,0,NA
122325,Male,22,175,73.6,Protestant,3.14,3rd,Political Science,Biology,65,76,1,0,NA
122418,Male,20,181,79.4,Catholic,3.08,4th,Environmental Sciences,Economics and Finance,71,76,1,1,41387.47997
122485,Female,21,171,68.8,Protestant,1.1,6th,Political Science,Biology,59,55,0,1,33648.37545
122995,Male,22,171,69.8,Protestant,2.38,5th,Biology,Social Sciences,78,76,0,1,54206.22179
123417,Male,21,185,88.5,Other,1.99,3rd,Biology,Political Science,84,76,1,0,NA
123537,Female,22,171,70.1,Protestant,1.64,3rd,Political Science,Environmental Sciences,55,55,1,0,NA
123862,Female,22,167,68.7,Protestant,1.65,3rd,Social Sciences,Biology,34,55,1,0,NA
124389,Male,23,184,80.6,Catholic,2.53,6th,Political Science,Biology,60,46,0,0,NA
124490,Male,23,179,80.5,Other,2.35,5th,Biology,Economics and Finance,77,84,1,1,51107.29907
124588,Female,22,155,65.6,Protestant,1.82,5th,Economics and Finance,Social Sciences,71,74,1,1,44826.96789
124687,Male,22,172,72.4,Protestant,1.79,4th,Environmental Sciences,Mathematics and Statistics,62,69,0,1,49004.72712
125459,Male,19,175,73.7,Orthodox,2.12,5th,Social Sciences,Economics and Finance,45,48,0,1,37829.95556
125812,Male,25,171,79.2,Orthodox,1.87,6th,Mathematics and Statistics,Economics and Finance,86,91,1,1,43564.49437
125869,Female,23,166,69.6,Catholic,1.71,3rd,Environmental Sciences,Mathematics and Statistics,66,75,0,0,NA
126051,Male,21,179,73.7,Protestant,2.2,4th,Economics and Finance,Mathematics and Statistics,66,63,1,0,NA
126803,Female,24,164,62.2,Catholic,2.63,3rd,Environmental Sciences,Political Science,72,75,1,0,NA
126817,Male,21,176,70,Catholic,3.06,3rd,Economics and Finance,Environmental Sciences,58,59,1,0,NA
127097,Female,22,161,64.6,Catholic,3.08,3rd,Biology,Social Sciences,79,79,1,0,NA
127324,Female,21,168,71.7,Other,1.18,5th,Social Sciences,Political Science,43,38,0,1,28058.50724
127329,Male,59,177,76.8,Other,3,>6th,Economics and Finance,Social Sciences,71,73,0,1,64052.1951
127478,Male,22,187,82.3,Orthodox,1.23,6th,Environmental Sciences,Mathematics and Statistics,66,74,1,1,42245.09512
127622,Female,20,156,65.2,Protestant,3.17,4th,Political Science,Biology,57,54,1,1,30327.48519
127998,Male,21,183,81.5,Other,1.76,5th,Political Science,Environmental Sciences,61,51,0,0,NA
128154,Male,37,190,88.1,Other,1.89,3rd,Economics and Finance,Social Sciences,64,63,1,0,NA
128227,Female,19,172,69.2,Other,1.51,3rd,Political Science,Economics and Finance,48,59,0,0,NA
128300,Female,20,166,67.8,Protestant,1.11,3rd,Political Science,Social Sciences,59,58,1,0,NA
128305,Female,21,171,71.4,Other,1.96,3rd,Political Science,Mathematics and Statistics,60,56,1,0,NA
128529,Male,20,183,84.1,Other,2.5,5th,Economics and Finance,Social Sciences,73,74,0,1,62091.43961
128608,Female,19,169,70.2,Catholic,1.13,4th,Biology,Political Science,69,83,1,0,NA
128747,Female,22,170,69.6,Other,1.75,4th,Mathematics and Statistics,Biology,86,94,0,1,43191.39645
128775,Female,18,154,63,Protestant,2.73,>6th,Social Sciences,Environmental Sciences,46,55,1,1,22313.32636
129235,Female,22,170,70.6,Catholic,1.45,4th,Social Sciences,Mathematics and Statistics,46,39,1,0,NA
129428,Male,20,173,70.3,Muslim,2.46,3rd,Political Science,Economics and Finance,54,56,0,0,NA
129905,Male,18,179,79.8,Catholic,1.88,5th,Economics and Finance,Social Sciences,71,66,1,1,48013.40457
130127,Female,21,166,68.3,Other,3.06,3rd,Social Sciences,Mathematics and Statistics,42,50,0,0,NA
130379,Female,24,160,64.7,Other,3.85,4th,Mathematics and Statistics,Social Sciences,89,91,1,0,NA
130608,Female,26,168,68.2,Other,3.88,5th,Political Science,Biology,48,53,1,1,38512.63134
130683,Male,22,172,74.6,Other,1.49,6th,Economics and Finance,Political Science,66,63,1,1,56261.95399
130857,Male,25,185,81.5,Catholic,1.51,3rd,Mathematics and Statistics,Social Sciences,88,88,0,0,NA
131152,Male,20,164,65.5,Protestant,2.85,6th,Political Science,Mathematics and Statistics,48,64,1,1,29999.35187
131191,Male,19,178,73.3,Orthodox,2.42,>6th,Economics and Finance,Political Science,68,59,0,1,41431.49812
131200,Male,22,171,72.4,Protestant,2.42,5th,Mathematics and Statistics,Biology,85,93,1,0,NA
131272,Female,21,166,68.2,Orthodox,1.22,3rd,Biology,Mathematics and Statistics,78,85,0,0,NA
131330,Female,20,173,71.7,Other,1.71,3rd,Social Sciences,Biology,40,45,1,0,NA
131364,Male,21,173,74.6,Other,2.84,5th,Biology,Mathematics and Statistics,83,76,1,1,44396.80246
131435,Male,23,172,72.5,Other,2.33,4th,Political Science,Environmental Sciences,56,44,0,1,44027.96788
131511,Female,21,162,67.1,Catholic,2.97,3rd,Social Sciences,Political Science,42,47,1,0,NA
131665,Female,24,169,71.6,Other,1.41,3rd,Social Sciences,Environmental Sciences,41,44,1,0,NA
131982,Female,55,152,60.5,Protestant,1.93,6th,Biology,Economics and Finance,69,88,1,1,41247.5699
132447,Male,21,174,70.2,Protestant,3.14,3rd,Mathematics and Statistics,Biology,91,95,1,0,NA
132595,Male,21,183,80.7,Other,1.59,5th,Mathematics and Statistics,Political Science,80,85,1,0,NA
132623,Female,20,159,65.9,Orthodox,3.62,4th,Environmental Sciences,Biology,72,71,1,1,29021.96127
132839,Female,23,153,60.6,Catholic,3.05,6th,Economics and Finance,Mathematics and Statistics,68,70,1,1,38048.29284
133170,Female,23,169,72.5,Catholic,3.23,3rd,Environmental Sciences,Mathematics and Statistics,77,79,1,0,NA
133480,Male,39,166,69.5,Protestant,3.69,3rd,Biology,Economics and Finance,79,85,1,0,NA
133898,Female,22,158,64.6,Catholic,1.63,4th,Biology,Social Sciences,73,74,1,0,NA
134026,Female,23,159,65.8,Muslim,1.31,5th,Environmental Sciences,Political Science,69,71,1,1,31873.98132
134081,Male,22,177,78.3,Catholic,1.2,5th,Biology,Mathematics and Statistics,71,74,0,1,53304.27651
134229,Female,21,169,68.7,Catholic,1.65,6th,Mathematics and Statistics,Social Sciences,91,88,1,1,35106.01099
134375,Male,22,178,76,Catholic,1.06,5th,Mathematics and Statistics,Environmental Sciences,85,92,1,0,NA
134380,Female,21,153,61.4,Other,1.03,3rd,Political Science,Biology,48,54,1,0,NA
134391,Male,23,189,88.5,Catholic,1.34,4th,Economics and Finance,Mathematics and Statistics,64,70,1,0,NA
134696,Male,21,169,69.1,Other,2.49,4th,Mathematics and Statistics,Political Science,88,89,0,0,NA
134912,Female,23,172,71.1,Other,1.41,3rd,Biology,Environmental Sciences,83,83,1,0,NA
135031,Female,21,174,74,Other,2.62,4th,Political Science,Economics and Finance,55,53,1,1,39204.67334
135088,Female,24,162,64.5,Protestant,2.14,3rd,Economics and Finance,Political Science,63,60,1,0,NA
135501,Male,25,166,63.7,Other,3.36,4th,Environmental Sciences,Social Sciences,73,65,1,1,39765.06147
135634,Male,20,182,80.2,Catholic,1.63,5th,Mathematics and Statistics,Social Sciences,87,92,0,1,50083.24151
135904,Female,20,164,67.9,Catholic,1.03,3rd,Social Sciences,Economics and Finance,47,52,1,0,NA
135940,Female,21,167,69.9,Protestant,1.15,5th,Political Science,Social Sciences,53,53,0,0,NA
136005,Male,24,169,71.7,Catholic,1.48,4th,Biology,Economics and Finance,80,78,1,0,NA
136060,Male,22,173,74.4,Other,1.04,4th,Biology,Economics and Finance,81,71,1,1,52316.11724
136116,Male,21,184,86,Other,2.12,5th,Mathematics and Statistics,Biology,93,89,1,1,54803.98934
136344,Female,25,154,61.6,Protestant,2.18,3rd,Environmental Sciences,Political Science,70,72,0,0,NA
136770,Male,22,181,78.7,Other,1.73,3rd,Mathematics and Statistics,Social Sciences,90,88,0,0,NA
137111,Female,20,162,70.1,Other,1.37,3rd,Political Science,Economics and Finance,56,60,1,0,NA
137160,Male,20,172,71.7,Catholic,2.87,3rd,Political Science,Environmental Sciences,51,55,0,0,NA
137611,Female,20,150,59.2,Protestant,1.52,3rd,Environmental Sciences,Social Sciences,70,70,0,0,NA
137613,Female,19,165,68,Catholic,1.55,6th,Political Science,Environmental Sciences,64,53,0,1,33796.96704
137719,Male,23,188,81.9,Catholic,1.5,5th,Biology,Mathematics and Statistics,77,84,1,1,43964.70403
137980,Male,24,186,85.6,Protestant,2.89,5th,Environmental Sciences,Political Science,67,70,1,1,40637.39521
138120,Male,19,170,65.3,Protestant,1.75,3rd,Social Sciences,Economics and Finance,45,47,1,0,NA
138849,Male,19,183,80.9,Other,2.58,3rd,Economics and Finance,Environmental Sciences,69,65,1,0,NA
138902,Female,19,158,64.5,Other,2.64,6th,Biology,Social Sciences,80,82,0,0,NA
138910,Female,23,169,70.3,Catholic,2.22,4th,Environmental Sciences,Social Sciences,71,81,1,0,NA
138986,Female,23,161,67.6,Catholic,1.52,3rd,Biology,Mathematics and Statistics,78,82,0,0,NA
138988,Male,18,189,91.9,Orthodox,3.29,4th,Social Sciences,Biology,47,44,1,0,NA
139052,Male,20,162,68.7,Protestant,1.29,5th,Social Sciences,Mathematics and Statistics,42,40,0,1,34318.02375
139342,Male,21,176,73.4,Protestant,3.88,6th,Biology,Political Science,72,82,0,0,NA
139531,Female,19,166,70.6,Other,3.83,4th,Economics and Finance,Mathematics and Statistics,66,66,1,0,NA
139857,Female,24,162,65.7,Other,3.11,3rd,Environmental Sciences,Political Science,72,69,1,0,NA
139866,Male,22,173,75.2,Catholic,3.5,3rd,Mathematics and Statistics,Social Sciences,86,92,1,0,NA
140007,Male,20,178,77.4,Orthodox,1.01,3rd,Economics and Finance,Social Sciences,60,55,0,0,NA
140021,Female,22,167,67.7,Catholic,3.58,3rd,Social Sciences,Economics and Finance,43,39,0,0,NA
140182,Female,20,161,63,Other,1.41,3rd,Biology,Mathematics and Statistics,75,83,1,0,NA
141059,Female,21,164,65.1,Other,1.2,3rd,Social Sciences,Political Science,53,40,1,0,NA
141195,Male,19,175,72.3,Catholic,1.17,3rd,Environmental Sciences,Economics and Finance,70,67,1,0,NA
141338,Female,21,153,61.9,Protestant,2.38,3rd,Political Science,Mathematics and Statistics,62,57,1,0,NA
141477,Male,19,186,83,Protestant,2.37,6th,Political Science,Economics and Finance,58,58,1,1,38433.26868
141816,Female,20,156,58.8,Other,2.41,3rd,Biology,Economics and Finance,70,72,0,0,NA
141913,Female,21,170,71.9,Protestant,2.81,3rd,Biology,Mathematics and Statistics,76,80,0,0,NA
141917,Male,47,187,84.2,Protestant,2.04,5th,Political Science,Social Sciences,64,49,1,1,57480.48312
141973,Male,20,173,70.9,Protestant,1.29,>6th,Environmental Sciences,Economics and Finance,73,70,0,1,35631.14194
142071,Male,24,173,74.5,Protestant,1.85,3rd,Political Science,Mathematics and Statistics,68,53,0,0,NA
142626,Female,22,160,66.2,Catholic,3.22,3rd,Political Science,Social Sciences,52,58,1,0,NA
142700,Male,22,195,94.8,Protestant,2.39,3rd,Environmental Sciences,Economics and Finance,68,74,1,0,NA
142988,Male,60,186,86.5,Catholic,3.85,3rd,Social Sciences,Economics and Finance,38,54,1,0,NA
143037,Male,20,176,75.6,Muslim,2.56,3rd,Environmental Sciences,Political Science,73,72,1,0,NA
143084,Female,24,159,63.2,Other,1.23,3rd,Mathematics and Statistics,Biology,88,88,1,0,NA
143206,Male,22,178,74.1,Other,2.52,5th,Environmental Sciences,Mathematics and Statistics,72,73,0,1,45733.5924
143513,Male,22,185,82.9,Protestant,2.25,3rd,Economics and Finance,Mathematics and Statistics,77,68,0,0,NA
143602,Female,21,157,65.3,Other,2.74,5th,Economics and Finance,Political Science,65,70,1,1,42295.64525
143686,Female,22,167,68.5,Other,1.79,3rd,Political Science,Environmental Sciences,54,56,0,0,NA
143818,Male,19,180,80,Catholic,2.56,4th,Mathematics and Statistics,Political Science,83,79,0,0,NA
144011,Female,19,171,73.3,Orthodox,1.38,6th,Economics and Finance,Biology,67,73,0,0,NA
144309,Male,24,178,78.7,Orthodox,2.66,5th,Environmental Sciences,Biology,72,74,1,1,40987.51579
144673,Male,19,168,68.3,Other,1.29,6th,Economics and Finance,Mathematics and Statistics,71,71,1,1,42994.05327
144876,Female,21,160,67.7,Catholic,3.91,4th,Biology,Economics and Finance,74,78,1,0,NA
144975,Male,20,168,69.1,Catholic,3.63,3rd,Mathematics and Statistics,Economics and Finance,87,89,1,0,NA
145139,Male,20,170,72.9,Protestant,1.91,3rd,Mathematics and Statistics,Political Science,91,88,1,0,NA
145401,Female,23,166,66.9,Orthodox,1.33,3rd,Biology,Social Sciences,79,80,0,0,NA
145419,Male,20,170,74.1,Other,2.16,4th,Political Science,Biology,54,54,0,0,NA
145718,Male,21,180,74.7,Catholic,1.24,5th,Biology,Social Sciences,74,76,0,1,48573.8517
145771,Female,22,173,72.4,Other,2.1,4th,Economics and Finance,Mathematics and Statistics,60,67,1,0,NA
145931,Male,21,188,88.5,Protestant,1.4,4th,Political Science,Economics and Finance,55,59,1,1,30025.74652
146258,Female,22,152,62.6,Catholic,1.78,4th,Social Sciences,Economics and Finance,44,46,1,0,NA
146405,Male,26,175,73.4,Other,1.67,4th,Environmental Sciences,Economics and Finance,66,78,1,1,32680.60721
146484,Male,23,169,72.1,Catholic,2.71,5th,Mathematics and Statistics,Social Sciences,89,95,1,1,58071.53528
146494,Female,21,167,65.7,Other,2.03,3rd,Political Science,Economics and Finance,58,62,0,0,NA
146635,Female,21,169,70.8,Protestant,2.17,6th,Mathematics and Statistics,Political Science,89,88,1,1,41919.05975
146915,Male,20,173,72.3,Muslim,3.68,5th,Political Science,Biology,55,46,1,1,36488.98065
147082,Male,23,175,73.9,Catholic,1.87,5th,Biology,Social Sciences,80,79,0,1,59798.4239
147207,Female,22,165,66.4,Other,2.49,4th,Social Sciences,Economics and Finance,53,50,0,1,17552.54847
147318,Male,24,181,78.5,Protestant,3.04,5th,Economics and Finance,Environmental Sciences,62,66,1,1,65776.22733
147345,Male,25,175,72.7,Orthodox,2.88,>6th,Biology,Social Sciences,77,77,1,1,60958.21349
147403,Male,22,176,71.9,Protestant,1.65,4th,Economics and Finance,Mathematics and Statistics,68,68,1,0,NA
147567,Female,19,168,72.7,Protestant,3.94,6th,Mathematics and Statistics,Biology,91,91,1,1,46559.12993
148203,Female,22,170,71.2,Orthodox,2.29,6th,Political Science,Mathematics and Statistics,59,62,1,0,NA
148750,Male,23,181,77.9,Orthodox,3.08,3rd,Economics and Finance,Mathematics and Statistics,69,62,0,0,NA
148788,Female,22,168,70.1,Muslim,1.12,3rd,Biology,Environmental Sciences,77,73,0,0,NA
148809,Male,21,173,73.8,Other,3.22,6th,Biology,Environmental Sciences,79,83,1,0,NA
148870,Male,22,169,70,Other,3.7,3rd,Environmental Sciences,Social Sciences,78,73,0,0,NA
148931,Female,39,149,64.9,Other,1.3,4th,Biology,Economics and Finance,73,80,1,0,NA
148955,Female,43,168,67.9,Protestant,3.96,3rd,Environmental Sciences,Mathematics and Statistics,76,73,0,0,NA
148957,Female,20,168,70.4,Other,3.62,6th,Social Sciences,Mathematics and Statistics,48,41,0,0,NA
149164,Male,22,180,75.1,Other,2.5,>6th,Mathematics and Statistics,Biology,85,92,1,1,58024.40176
149242,Female,27,184,85.5,Catholic,2.92,6th,Biology,Social Sciences,77,77,1,0,NA
149248,Female,22,167,70.5,Other,2.01,6th,Social Sciences,Mathematics and Statistics,46,45,0,0,NA
149335,Female,56,164,69.1,Catholic,1.8,4th,Environmental Sciences,Political Science,74,70,1,1,34279.01824
149398,Male,21,181,79.2,Other,1.22,3rd,Social Sciences,Economics and Finance,50,47,1,0,NA
149478,Male,22,180,78.8,Muslim,1.95,3rd,Biology,Social Sciences,70,71,0,0,NA
149540,Female,18,172,71.5,Other,1.19,>6th,Political Science,Social Sciences,55,58,1,1,34492.07721
149547,Male,24,185,81.8,Catholic,2.58,3rd,Biology,Economics and Finance,71,76,1,0,NA
149638,Female,20,176,78.5,Protestant,1.48,3rd,Social Sciences,Environmental Sciences,48,42,0,0,NA
149658,Male,21,183,83.5,Other,1.19,5th,Biology,Political Science,72,86,1,1,40252.95865
149939,Male,20,183,80.6,Protestant,1.82,4th,Environmental Sciences,Social Sciences,64,74,0,1,46127.31167
149982,Male,20,201,105.5,Orthodox,2.62,>6th,Environmental Sciences,Economics and Finance,72,67,0,1,33291.47892
151226,Female,22,158,58.7,Other,1.66,3rd,Environmental Sciences,Biology,62,78,1,0,NA
151261,Male,22,185,84.3,Other,2.63,4th,Political Science,Mathematics and Statistics,53,46,1,0,NA
151400,Male,24,183,77.5,Other,2.89,5th,Mathematics and Statistics,Economics and Finance,86,90,1,1,50142.0207
151449,Female,19,174,70.6,Protestant,2.94,6th,Political Science,Mathematics and Statistics,54,56,1,1,39467.88316
151998,Male,51,179,79.6,Other,1.25,4th,Social Sciences,Environmental Sciences,49,50,1,1,35727.41282
152122,Female,20,164,64.2,Catholic,1.05,4th,Political Science,Mathematics and Statistics,47,55,0,1,30183.9305
152243,Male,19,181,74.6,Other,2.69,>6th,Mathematics and Statistics,Biology,89,87,0,1,52083.60762
152383,Female,36,167,72.8,Orthodox,1.28,4th,Political Science,Biology,54,45,0,1,42177.15496
152711,Male,22,169,74.8,Catholic,2.4,4th,Economics and Finance,Mathematics and Statistics,67,66,0,0,NA
152996,Male,20,181,81.4,Protestant,3.91,4th,Political Science,Mathematics and Statistics,59,50,0,0,NA
153139,Male,23,180,80.2,Other,2.59,6th,Environmental Sciences,Biology,70,68,1,0,NA
153149,Male,21,169,70.6,Other,3.26,5th,Biology,Social Sciences,72,75,0,1,53242.38134
153397,Male,23,172,71.5,Protestant,2.54,5th,Political Science,Social Sciences,54,52,0,0,NA
153742,Female,21,165,66.6,Other,2.68,6th,Economics and Finance,Environmental Sciences,73,68,1,1,44709.66952
153778,Male,21,182,78.8,Catholic,3.64,5th,Mathematics and Statistics,Political Science,92,93,1,0,NA
153801,Male,20,183,75.8,Protestant,1.32,3rd,Biology,Mathematics and Statistics,82,81,1,0,NA
154015,Female,28,164,68.1,Orthodox,1.86,4th,Environmental Sciences,Social Sciences,75,69,0,0,NA
154158,Male,20,174,78.4,Protestant,2.86,6th,Environmental Sciences,Biology,68,67,1,1,44812.41359
154648,Female,23,168,70.9,Other,3.43,4th,Social Sciences,Environmental Sciences,42,40,0,0,NA
155186,Male,23,172,73.6,Other,2.24,6th,Biology,Mathematics and Statistics,77,80,1,0,NA
155261,Male,23,179,78.8,Other,1.17,6th,Mathematics and Statistics,Political Science,86,90,0,0,NA
155294,Female,19,168,67.4,Protestant,1.34,4th,Biology,Social Sciences,84,83,1,1,42463.4793
155430,Female,20,164,61.3,Protestant,2.29,4th,Economics and Finance,Mathematics and Statistics,66,70,0,1,48118.37091
155664,Female,19,156,66.1,Orthodox,2.59,4th,Environmental Sciences,Biology,75,74,1,0,NA
155776,Male,19,186,80.3,Other,1.53,5th,Mathematics and Statistics,Economics and Finance,93,83,0,1,53178.73999
155876,Female,26,171,69.9,Protestant,1.27,3rd,Biology,Mathematics and Statistics,81,76,1,0,NA
156049,Male,20,172,69.2,Other,3.76,3rd,Biology,Political Science,81,77,1,0,NA
156204,Male,24,184,79.8,Catholic,1.99,3rd,Political Science,Economics and Finance,58,57,0,0,NA
156460,Male,23,182,82.7,Other,1.22,4th,Social Sciences,Political Science,38,49,1,0,NA
156708,Male,19,192,93.8,Other,2.91,5th,Environmental Sciences,Economics and Finance,79,69,0,1,42928.9405
156793,Male,22,181,81,Other,1.54,3rd,Environmental Sciences,Social Sciences,75,74,0,0,NA
156853,Male,21,185,84.2,Protestant,3.32,4th,Economics and Finance,Social Sciences,60,66,0,0,NA
156867,Male,23,190,89.3,Other,2.42,>6th,Biology,Social Sciences,76,72,0,0,NA
157020,Male,22,183,84.4,Other,2.66,3rd,Economics and Finance,Biology,66,60,1,0,NA
157132,Female,19,175,74.1,Catholic,1.37,3rd,Social Sciences,Environmental Sciences,51,43,0,0,NA
157197,Female,21,168,68.4,Catholic,1.59,4th,Economics and Finance,Biology,67,65,1,1,41672.00975
157233,Male,20,180,83.7,Catholic,3.24,>6th,Mathematics and Statistics,Political Science,93,89,1,1,45926.40532
157437,Female,23,155,56.4,Catholic,1.66,3rd,Political Science,Biology,56,56,1,0,NA
157587,Male,24,176,73.8,Catholic,2.07,5th,Biology,Environmental Sciences,81,76,0,1,66607.29432
157644,Male,23,179,79.9,Catholic,1.11,3rd,Political Science,Economics and Finance,50,50,1,0,NA
157909,Male,23,161,66.9,Catholic,2.85,3rd,Environmental Sciences,Economics and Finance,77,76,0,0,NA
157941,Male,23,179,77.6,Catholic,1.91,3rd,Social Sciences,Economics and Finance,48,53,1,0,NA
157994,Female,21,170,72.8,Other,1.69,3rd,Environmental Sciences,Economics and Finance,77,71,1,0,NA
158550,Male,19,180,75,Catholic,2.06,5th,Economics and Finance,Social Sciences,60,63,0,1,53339.86814
158609,Female,22,167,68.5,Other,2.32,4th,Political Science,Biology,56,51,0,0,NA
158666,Female,19,172,69.7,Other,3.36,5th,Mathematics and Statistics,Political Science,89,94,1,1,38368.90506
158758,Female,23,157,67,Catholic,2.32,5th,Economics and Finance,Mathematics and Statistics,76,60,1,1,46921.10248
159061,Male,20,173,73.4,Catholic,2.18,4th,Social Sciences,Political Science,46,33,1,1,27154.28596
159105,Male,22,172,75.4,Catholic,1.84,6th,Environmental Sciences,Political Science,74,71,0,1,34190.67565
159316,Male,20,181,79.6,Catholic,1.13,4th,Mathematics and Statistics,Political Science,86,86,0,0,NA
159390,Female,25,178,76.6,Catholic,1.85,5th,Biology,Political Science,79,81,0,1,47227.08298
